Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Li, Y., Miao, Y., Zhang, Q.",57959307900;56530107900;55627873077;,Causal associations of obstructive sleep apnea with cardiovascular disease: a Mendelian randomization study,2023,Sleep,46,3,zsac298,,,,13,10.1093/sleep/zsac298,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149685198&doi=10.1093%2fsleep%2fzsac298&partnerID=40&md5=b6815f49a96afdc8fcde82c6e2c1f259,Article,Final,,Scopus,2-s2.0-85149685198
"Li, L., Ren, Q., Zheng, Q., Bai, Y., He, S., Zhang, Y., Ma, H.",58844324700;58018044500;58017603500;56890132500;57220780615;58503240900;56477767400;,Causal associations between gastroesophageal reflux disease and lung cancer risk: A Mendelian randomization study,2023,Cancer Medicine,12,6,,7552,7559,,13,10.1002/cam4.5498,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144012823&doi=10.1002%2fcam4.5498&partnerID=40&md5=b7eb9d9fcc5b95aec8ff4854c4701ad5,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85144012823
"Chen, J., Ruan, X., Sun, Y., Li, X., Yuan, S., Larsson, S.C.",57215838385;57226452913;57222622169;58982840100;56506115600;7202349296;,Plasma phospholipid arachidonic acid in relation to non-alcoholic fatty liver disease: Mendelian randomization study,2023,Nutrition,106,,111910,,,,13,10.1016/j.nut.2022.111910,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145554528&doi=10.1016%2fj.nut.2022.111910&partnerID=40&md5=34b932efda651b96688ebd5f7fb73250,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85145554528
"Li, R., Guo, Q., Zhao, J., Kang, W., Lu, R., Long, Z., Huang, L., Chen, Y., Zhao, A., Wu, J., Yin, Y., Li, S.",57322716400;58520731000;57816369800;57575515200;58247505600;57218394881;57193229757;59076172800;57162254500;56126518000;58591000300;8626563300;,Assessing causal relationships between gut microbiota and asthma: evidence from two sample Mendelian randomization analysis,2023,Frontiers in Immunology,14,,1148684,,,,13,10.3389/fimmu.2023.1148684,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166591530&doi=10.3389%2ffimmu.2023.1148684&partnerID=40&md5=3f85ea5b7ec454370f073e2674b59fb2,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85166591530
"Shi, H., Zhao, T., Geng, R., Sun, L., Fan, H.",58315852000;58314609800;58315104800;57223676726;55454128900;,The associations between gut microbiota and chronic respiratory diseases: a Mendelian randomization study,2023,Frontiers in Microbiology,14,,1200937,,,,13,10.3389/fmicb.2023.1200937,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162004654&doi=10.3389%2ffmicb.2023.1200937&partnerID=40&md5=b9705e6a3aa0f891898e330cb1ebc597,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85162004654
"Lv, X., Xu, B., Tang, X., Liu, S., Qian, J.-H., Guo, J., Luo, J.",58281262500;57222142428;58281945100;58277147000;57218671281;57938406000;57198980420;,The relationship between major depression and migraine: A bidirectional two-sample Mendelian randomization study,2023,Frontiers in Neurology,14,,1143060,,,,13,10.3389/fneur.2023.1143060,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159833204&doi=10.3389%2ffneur.2023.1143060&partnerID=40&md5=ba00f9d3cfb7608fb1b00f8b752b562e,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85159833204
"Lawler, T., Warren Andersen, S.",57208738956;23480694900;,Serum 25-Hydroxyvitamin D and Cancer Risk: A Systematic Review of Mendelian Randomization Studies,2023,Nutrients,15,2,422,,,,13,10.3390/nu15020422,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146784349&doi=10.3390%2fnu15020422&partnerID=40&md5=3cfbce66470a71e072bca886cb081674,Review,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85146784349
"Guo, M.-N., Hao, X.-Y., Tian, J., Wang, Y.-C., Li, J.-D., Fan, Y., Shi, J.-J., Ma, D.-R., Li, S.-J., Zuo, C.-Y., Liang, Y.-Y., Li, M.-J., Shen, S., Liu, F., Yao, D.-B., Xu, Y.-M., Shi, C.-H.",57479321800;57220779045;57188925345;57200057745;57406742400;57202136342;57406393900;59062819500;58376580200;58020632600;58021107200;57217185693;57217185727;57217186247;57217186101;7406450867;55607912500;,Human blood metabolites and lacunar stroke: A Mendelian randomization study,2023,International Journal of Stroke,18,1,,109,116,,13,10.1177/17474930221140792,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144205358&doi=10.1177%2f17474930221140792&partnerID=40&md5=69120c40211ced802042366107ab4c01,Article,Final,,Scopus,2-s2.0-85144205358
"Lu, T., Forgetta, V., Greenwood, C.M.T., Zhou, S., Richards, J.B.",57208077072;6503914820;57197467650;23104483400;57217631678;,Circulating Proteins Influencing Psychiatric Disease: A Mendelian Randomization Study,2023,Biological Psychiatry,93,1,,82,91,,13,10.1016/j.biopsych.2022.08.015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140631653&doi=10.1016%2fj.biopsych.2022.08.015&partnerID=40&md5=cf44b4daee9a0a92e13ba6bb47abf957,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85140631653
"Zeng, L., Lv, H., Wang, X., Xue, R., Zhou, C., Liu, X., Yu, H.",57930293100;57339264900;57210639505;57328331400;57201902143;57221787376;56698954700;,Causal effects of fatty acids on depression: Mendelian randomization study,2022,Frontiers in Nutrition,9,,1010476,,,,13,10.3389/fnut.2022.1010476,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144167341&doi=10.3389%2ffnut.2022.1010476&partnerID=40&md5=6fe110bf3dee16c0d2626ae6c55ee254,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85144167341
"Andreu-Bernabeu, Á., Díaz-Caneja, C.M., Costas, J., De Hoyos, L., Stella, C., Gurriarán, X., Alloza, C., Fañanás, L., Bobes, J., González-Pinto, A., Crespo-Facorro, B., Martorell, L., Vilella, E., Muntané, G., Nacher, J., Molto, M.D., Aguilar, E.J., Parellada, M., Arango, C., González-Peñas, J.",56748038900;56208998400;7003291456;57219826444;57221488377;57194743203;57189662978;7003809352;7005688230;7003274216;6603814621;57213064260;7003315915;57194757671;7003322262;6603719492;7102769489;14040702000;6508338058;35336386500;,Polygenic contribution to the relationship of loneliness and social isolation with schizophrenia,2022,Nature Communications,13,1,51,,,,13,10.1038/s41467-021-27598-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122850252&doi=10.1038%2fs41467-021-27598-6&partnerID=40&md5=d72ea24040243a7a48497bb6907ae1d9,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85122850252
"Deng, M.-G., Cui, H.-T., Lan, Y.-B., Nie, J.-Q., Liang, Y.-H., Chai, C.",57459913300;57889318100;57970804900;57221734183;57211241168;57234746800;,"Physical activity, sedentary behavior, and the risk of type 2 diabetes: A two-sample Mendelian Randomization analysis in the European population",2022,Frontiers in Endocrinology,13,,964132,,,,13,10.3389/fendo.2022.964132,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142125987&doi=10.3389%2ffendo.2022.964132&partnerID=40&md5=5c3a0fba406f98c968f602107195e70d,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85142125987
"Astore, C., Nagpal, S., Gibson, G.",57222333318;57203680173;55558901400;,Mendelian Randomization Indicates a Causal Role for Omega-3 Fatty Acids in Inflammatory Bowel Disease,2022,International Journal of Molecular Sciences,23,22,14380,,,,13,10.3390/ijms232214380,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142652511&doi=10.3390%2fijms232214380&partnerID=40&md5=1d27bc762255a4c263189a4c589a1686,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85142652511
"Zhang, Z., Fang, T., Lv, Y.",57222152731;57895754600;57222042165;,Causal associations between thyroid dysfunction and COVID-19 susceptibility and severity: A bidirectional Mendelian randomization study,2022,Frontiers in Endocrinology,13,,961717,,,,13,10.3389/fendo.2022.961717,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138267923&doi=10.3389%2ffendo.2022.961717&partnerID=40&md5=30fc843e7cd6f4c9596415bf3b7d16e2,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85138267923
"Wang, Y., Chu, T., Gong, Y., Li, S., Wu, L., Jin, L., Hu, R., Deng, H.",56147678400;57705403400;57453851300;57704994700;57705817700;7403328850;54415773000;55760827700;,Mendelian randomization supports the causal role of fasting glucose on periodontitis,2022,Frontiers in Endocrinology,13,,860274,,,,13,10.3389/fendo.2022.860274,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136496159&doi=10.3389%2ffendo.2022.860274&partnerID=40&md5=48879887a56e2f7b5cf98aa01f00b471,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85136496159
"Wang, H., Luo, Q., Ding, X., Chen, L., Zhang, Z.",23487253200;57226724740;57831807400;57439974800;57831807500;,Trimethylamine N-oxide and its precursors in relation to blood pressure: A mendelian randomization study,2022,Frontiers in Cardiovascular Medicine,9,,922441,,,,13,10.3389/fcvm.2022.922441,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135469698&doi=10.3389%2ffcvm.2022.922441&partnerID=40&md5=3436b72e14b35b4eb32ec819d9395bf9,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85135469698
"Huang, L., Feng, X., Yang, W., Li, X., Zhang, K., Feng, S., Wang, F., Yang, X.",55879742900;57219289288;57417620000;57208909317;57756491600;57756829200;56892966800;56149484300;,Appraising the Effect of Potential Risk Factors on Thyroid Cancer: A Mendelian Randomization Study,2022,Journal of Clinical Endocrinology and Metabolism,107,7,,E2783,E2791,,13,10.1210/clinem/dgac196,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132454625&doi=10.1210%2fclinem%2fdgac196&partnerID=40&md5=3f41f773d12cf3e3a3ea5f8d7f000793,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85132454625
"Li, Z., Wei, Y., Zhu, G., Wang, M., Zhang, L.",57209334715;59039947100;57355390300;58180599000;56650383800;,Cancers and COVID-19 Risk: A Mendelian Randomization Study,2022,Cancers,14,9,2086,,,,13,10.3390/cancers14092086,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128763592&doi=10.3390%2fcancers14092086&partnerID=40&md5=7de06c4bb69427337b0320c7eeb4264b,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85128763592
"Zhao, J.V., Liu, F., Schooling, C.M., Li, J., Gu, D., Lu, X.",57125061000;56088466900;12808565000;57207801250;57218259436;16203710100;,"Using genetics to assess the association of commonly used antihypertensive drugs with diabetes, glycaemic traits and lipids: a trans-ancestry Mendelian randomisation study",2022,Diabetologia,65,4,,695,704,,13,10.1007/s00125-021-05645-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123619701&doi=10.1007%2fs00125-021-05645-7&partnerID=40&md5=a66f8ae4131b09366e5592cd6a51c729,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85123619701
"Yuan, Z., Liu, L., Guo, P., Yan, R., Xue, F., Zhou, X.",22636598200;57213671789;57221083462;57218706932;8925496400;55566272600;,Likelihood-based Mendelian randomization analysis with automated instrument selection and horizontal pleiotropic modeling,2022,Science Advances,8,9,eabl5744,,,,13,10.1126/sciadv.abl5744,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125556126&doi=10.1126%2fsciadv.abl5744&partnerID=40&md5=4be130ab1c8b0a2560454fbdcf35bc47,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85125556126
"Ma, X.-Y., Liu, H.-M., Lv, W.-Q., Qiu, C., Xiao, H.-M., Deng, H.-W.",57435416300;57196314953;57195593900;35734873300;36893832900;34568563000;,A bi-directional Mendelian randomization study of the sarcopenia-related traits and osteoporosis,2022,Aging,14,14,,5681,5698,,13,10.18632/aging.204145,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135532903&doi=10.18632%2faging.204145&partnerID=40&md5=fdc18af399e23fae35035f22ef7f4045,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85135532903
"Miao, R., Li, J., Meng, C., Li, Y., Tang, H., Wang, J., Deng, P., Lu, Y.",56735805000;56121288900;57432741000;57432879800;57215597639;57224988711;57433748000;55506554700;,Diet-Derived Circulating Antioxidants and Risk of Stroke: A Mendelian Randomization Study,2022,Oxidative Medicine and Cellular Longevity,2022,,6457318,,,,13,10.1155/2022/6457318,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123816225&doi=10.1155%2f2022%2f6457318&partnerID=40&md5=6472291c844ffcf47d7009e3404c7e32,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85123816225
"Zhang, Z., Wang, M., Liu, X.",55721646800;57202949985;57192261570;,C-reactive protein and risk of Alzheimer's disease,2022,Neurobiology of Aging,109,,,259,263,,13,10.1016/j.neurobiolaging.2021.08.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115036835&doi=10.1016%2fj.neurobiolaging.2021.08.010&partnerID=40&md5=8c573dd44b3e594a53a0d86c8e98d491,Article,Final,,Scopus,2-s2.0-85115036835
"Jiang, J., Shao, M., Wu, X.",57255672000;57215204743;57255322300;,Vitamin D and risk of ankylosing spondylitis: A two-sample mendelian randomization study,2022,Human Immunology,83,1,,81,85,,13,10.1016/j.humimm.2021.09.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114719709&doi=10.1016%2fj.humimm.2021.09.003&partnerID=40&md5=4d9a01c25d3def4f12b8ea6f119225f2,Article,Final,,Scopus,2-s2.0-85114719709
"Zhang, H., Xiu, X., Xue, A., Yang, Y., Yang, Y., Zhao, H.",57196117125;57222310834;57201633085;8439078900;58100083900;57201347503;,Mendelian randomization study reveals a population-specific putative causal effect of type 2 diabetes in risk of cataract,2021,International Journal of Epidemiology,50,6,,2024,2037,,13,10.1093/ije/dyab175,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126687199&doi=10.1093%2fije%2fdyab175&partnerID=40&md5=06943bde2681eae95f80c2e57ac3edec,Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85126687199
"Park, S., Lee, S., Kim, Y., Cho, S., Kim, K., Kim, Y.C., Han, S.S., Lee, H., Lee, J.P., Lee, S., Choi, E.-K., Joo, K.W., Lim, C.S., Kim, Y.S., Kim, D.K.",57210030734;57225221734;57202790600;57210030464;57210575084;57026583000;35242581200;36554389800;56028990400;54782924100;35558194200;7101808967;15019536200;7410205767;23479259100;,Causal effects of atrial fibrillation on brain white and gray matter volume: a Mendelian randomization study,2021,BMC Medicine,19,1,274,,,,13,10.1186/s12916-021-02152-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119881934&doi=10.1186%2fs12916-021-02152-9&partnerID=40&md5=671c7f0132e17fff84710b406071ccf5,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85119881934
"Zhao, J.V., Schooling, C.M.",57125061000;12808565000;,Using Mendelian randomization study to assess the renal effects of antihypertensive drugs,2021,BMC Medicine,19,1,79,,,,13,10.1186/s12916-021-01951-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103402815&doi=10.1186%2fs12916-021-01951-4&partnerID=40&md5=9bbf02d40c6c928a2548c497e8d39520,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85103402815
"Tsai, C.-W., Chang, W.-S., Xu, Y., Huang, M., Bau, D.-T., Gu, J.",7404966994;36467845700;55658940100;8902885500;6701368705;34569668000;,Associations of genetically predicted circulating insulin-like growth factor-1 and insulin-like growth factor binding protein-3 with bladder cancer risk,2021,Molecular Carcinogenesis,60,11,,726,733,,13,10.1002/mc.23334,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111140336&doi=10.1002%2fmc.23334&partnerID=40&md5=d0cd38cdfd635eb0e9d8b8618027aa5e,Article,Final,,Scopus,2-s2.0-85111140336
"Zhu, H., Zheng, F., Li, L., Jin, Y., Luo, Y., Li, Z., Zeng, J., Tang, L., Li, Z., Xia, N., Liu, P., Han, D., Shan, Y., Zhu, X., Liu, S., Xie, R., Chen, Y., Liu, W., Liu, L., Xu, X., Wang, J., Yang, H., Shen, X., Jin, X., Cheng, F.",57217201499;57209589055;57226031856;59289871300;57221247979;57980219300;57226022439;57211442806;57226030529;57225940145;57219852294;57225956626;57226021056;57209910769;55609143600;57979674800;57207300756;57211444141;57204715908;56574471300;57214694805;34573719100;55357418100;58847787800;56243930800;,A Chinese host genetic study discovered IFNs and causality of laboratory traits on COVID-19 severity,2021,iScience,24,10,103186,,,,13,10.1016/j.isci.2021.103186,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121205952&doi=10.1016%2fj.isci.2021.103186&partnerID=40&md5=b1576c64e9439df3da92fdf0f78ddc11,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85121205952
"D'Urso, S., Wang, G., Hwang, L.-D., Moen, G.-H., Warrington, N.M., Evans, D.M.",57218669070;56673088600;55989988900;57188549639;57200630008;7601570762;,A cautionary note on using Mendelian randomization to examine the Barker hypothesis and Developmental Origins of Health and Disease (DOHaD),2021,Journal of Developmental Origins of Health and Disease,12,5,,688,693,,13,10.1017/S2040174420001105,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097448355&doi=10.1017%2fS2040174420001105&partnerID=40&md5=12bb1f03bb18c620d7d3bbb6b6e67d57,Article,Final,,Scopus,2-s2.0-85097448355
"Chen, H., Mi, S., Zhu, J., Jin, W., Li, Y., Wang, T., Li, Y., Fan, C.",57214720110;57209134430;57210950384;57218801865;57224963907;57224963459;55929093600;23492003400;,No Causal Association Between Adiponectin and the Risk of Rheumatoid Arthritis: A Mendelian Randomization Study,2021,Frontiers in Genetics,12,,670282,,,,13,10.3389/fgene.2021.670282,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116919635&doi=10.3389%2ffgene.2021.670282&partnerID=40&md5=759b83316614bdd9eed0532822c3c21f,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85116919635
"Ng, J.C.M., Schooling, C.M.",57217123351;12808565000;,Effect of Basal Metabolic Rate on Cancer: A Mendelian Randomization Study,2021,Frontiers in Genetics,12,,735541,,,,13,10.3389/fgene.2021.735541,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115644371&doi=10.3389%2ffgene.2021.735541&partnerID=40&md5=c3d9ff3a7287b02aa51b134cac6da7b7,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85115644371
"Fan, J., Shi, X., Jia, X., Wang, Y., Zhao, Y., Bao, J., Zhang, H., Yang, Y.",57249025200;8424539300;57203785324;7601502087;57140273700;56701706900;57248755800;7409381855;,"Birth weight, childhood obesity and risk of hypertension: A Mendelian randomization study",2021,Journal of Hypertension,39,9,,1876,1883,,13,10.1097/HJH.0000000000002871,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114384759&doi=10.1097%2fHJH.0000000000002871&partnerID=40&md5=e4144cbcc6881ce64b735e1f00dc203b,Article,Final,,Scopus,2-s2.0-85114384759
"Libuda, L., Naaresh, R., Ludwig, C., Laabs, B.-H., Antel, J., Föcker, M., Hebebrand, J., Hinney, A., Peters, T.",24390948200;57209010354;57209011014;57208619416;7103054529;25642808100;21645697400;7005422532;57190403452;,A mendelian randomization study on causal effects of 25(OH)vitamin D levels on attention deficit/hyperactivity disorder,2021,European Journal of Nutrition,60,5,,2581,2591,,13,10.1007/s00394-020-02439-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096857680&doi=10.1007%2fs00394-020-02439-2&partnerID=40&md5=9da09c1584f12f2085fdf84aac8ce387,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85096857680
"Xie, Y., Chen, X., Deng, M., Sun, Y., Wang, X., Chen, J., Yuan, C., Hesketh, T.",57220865138;57215278186;57191527046;57222622169;57273896900;57215838385;57192071753;57207550433;,Causal Linkage Between Inflammatory Bowel Disease and Primary Sclerosing Cholangitis: A Two-Sample Mendelian Randomization Analysis,2021,Frontiers in Genetics,12,,649376,,,,13,10.3389/fgene.2021.649376,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103509716&doi=10.3389%2ffgene.2021.649376&partnerID=40&md5=19a2a3ea38b71461a5bedf1e0e199ba8,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85103509716
"Au Yeung, S.L., Li, A.M., Schooling, C.M.",8871840600;7403291810;12808565000;,A life course approach to elucidate the role of adiposity in asthma risk: evidence from a Mendelian randomisation study,2021,Journal of Epidemiology and Community Health,75,3,,277,281,,13,10.1136/jech-2020-213745,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094656370&doi=10.1136%2fjech-2020-213745&partnerID=40&md5=d81df63c171636ca9afd00591d15b6bb,Article,Final,,Scopus,2-s2.0-85094656370
"Richardson, T.G., Fang, S., Mitchell, R.E., Holmes, M.V., Davey Smith, G.",55986639700;57221369136;56745286600;35740512000;57220145221;,Evaluating the effects of cardiometabolic exposures on circulating proteins which may contribute to severe SARS-CoV-2,2021,EBioMedicine,64,,103228,,,,13,10.1016/j.ebiom.2021.103228,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100266227&doi=10.1016%2fj.ebiom.2021.103228&partnerID=40&md5=433a3956f8018c59131433284bbbe3ce,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85100266227
"Saunders, C.N., Cornish, A.J., Kinnersley, B., Law, P.J., Houlston, R.S., Claus, E.B., Il’yasova, D., Schildkraut, J., Barnholtz-Sloan, J.S., Olson, S.H., Bernstein, J.L., Lai, R.K., Chanock, S., Rajaraman, P., Johansen, C., Jenkins, R.B., Melin, B.S., Wrensch, M.R., Sanson, M., Bondy, M.L.",57211186037;57200562358;55353480900;57155941900;34569730700;56832406900;57204303816;57207903158;7005410780;57214510899;57211614742;57964920200;7006047196;57203069114;57200933082;7201463221;57218348826;7004910613;57209073999;7007007076;,Searching for causal relationships of glioma: a phenome-wide Mendelian randomisation study,2021,British Journal of Cancer,124,2,,447,454,,13,10.1038/s41416-020-01083-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092192018&doi=10.1038%2fs41416-020-01083-1&partnerID=40&md5=b3b73f8134a72bf9bf92bdfc2351a006,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85092192018
"Ellingjord-Dale, M., Papadimitriou, N., Katsoulis, M., Yee, C., Dimou, N., Gill, D., Aune, D., Ong, J.-S., MacGregor, S., Elsworth, B., Lewis, S.J., Martin, R.M., Riboli, E., Tsilidis, K.K.",55418477400;57191859969;56442457900;57221317006;24586876800;56890453400;29667504200;57190756687;56591946800;23134731200;57198811524;55689388800;57191801446;12789243400;,Coffee consumption and risk of breast cancer: A Mendelian randomization study,2021,PLoS ONE,16,01-Jan,e0236904,,,,13,10.1371/journal.pone.0236904,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100226433&doi=10.1371%2fjournal.pone.0236904&partnerID=40&md5=044cd1d31cf6b674eefb1fbbd4c6e58e,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85100226433
"Wang, K., Ding, L., Yang, C., Hao, X., Wang, C.",57210982075;57219014326;55580390800;56822871000;55849904300;,Exploring the Relationship Between Psychiatric Traits and the Risk of Mouth Ulcers Using Bi-Directional Mendelian Randomization,2020,Frontiers in Genetics,11,,608630,,,,13,10.3389/fgene.2020.608630,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098586330&doi=10.3389%2ffgene.2020.608630&partnerID=40&md5=ea91f1e52de5f2dbad811af9d0fbf2d6,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85098586330
"Brown, D.W., Lin, S.-H., Loh, P.-R., Chanock, S.J., Savage, S.A., Machiela, M.J.",56903402000;35485018200;56513426500;7006047196;57205756540;57205131998;,Genetically predicted telomere length is associated with clonal somatic copy number alterations in peripheral leukocytes,2020,PLoS Genetics,16,10,e1009078,,,,13,10.1371/journal.pgen.1009078,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094673275&doi=10.1371%2fjournal.pgen.1009078&partnerID=40&md5=590871488a51928d474ccbe802f1f024,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85094673275
"Sun, S., Jiao, M., Han, C., Zhang, Q., Shi, W., Shi, J., Li, X.",57225097924;57219159086;57219162011;59284530000;55139051800;7404494924;57219165639;,Causal Effects of Genetically Determined Metabolites on Risk of Polycystic Ovary Syndrome: A Mendelian Randomization Study,2020,Frontiers in Endocrinology,11,,621,,,,13,10.3389/fendo.2020.00621,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091503099&doi=10.3389%2ffendo.2020.00621&partnerID=40&md5=db07f108fea946b67814f4e0ca2a25a1,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85091503099
"Zhang, L., Tang, L., Xia, K., Huang, T., Fan, D.",57211587724;36148697800;57209731288;56652837200;7202965513;,"Education, intelligence, and amyotrophic lateral sclerosis: A Mendelian randomization study",2020,Annals of Clinical and Translational Neurology,7,9,,1642,1647,,13,10.1002/acn3.51156,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089538831&doi=10.1002%2facn3.51156&partnerID=40&md5=8739cd0d57e0fff3681794e1069b9dfd,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85089538831
"Sun, D., Thomas, E.A., Launer, L.J., Sidney, S., Yaffe, K., Fornage, M.",57222439267;57216841120;7006392362;35379383800;57203071462;6602465971;,Association of blood pressure with cognitive function at midlife: A Mendelian randomization study,2020,BMC Medical Genomics,13,1,121,,,,13,10.1186/s12920-020-00769-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089969242&doi=10.1186%2fs12920-020-00769-y&partnerID=40&md5=ff376a921b36285455e02b9fc9d23aa9,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85089969242
"Minicǎ, C.C., Boomsma, D.I., Dolan, C.V., De Geus, E., Neale, M.C.",36677599700;35378012400;7005212983;7006594888;55550831600;,Empirical comparisons of multiple Mendelian randomization approaches in the presence of assortative mating,2020,International Journal of Epidemiology,49,4,,1185,1193,,13,10.1093/ije/dyaa013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096151873&doi=10.1093%2fije%2fdyaa013&partnerID=40&md5=969a22c1ebcc3ea08f5d6035747a37d5,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85096151873
"Gill, D., Georgakis, M.K., Zuber, V., Karhunen, V., Burgess, S., Malik, R., Dichgans, M.",56890453400;57105632400;36942634800;57210776128;37080302300;7201876979;7004050470;,Genetically predicted midlife blood pressure and coronary artery disease risk: Mendelian randomization analysis,2020,Journal of the American Heart Association,9,14,e016773,,,,13,10.1161/JAHA.120.016773,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088495008&doi=10.1161%2fJAHA.120.016773&partnerID=40&md5=062c0141cbc668116eb9eebb38135612,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85088495008
"Wang, T., Tang, Z., Yu, X., Gao, Y., Guan, F., Li, C., Huang, S., Zheng, J., Zeng, P.",56319560800;14026017700;57208734985;57216323360;16174749500;56252713900;55929345500;35277631700;57200841379;,Birth Weight and Stroke in Adult Life: Genetic Correlation and Causal Inference With Genome-Wide Association Data Sets,2020,Frontiers in Neuroscience,14,,479,,,,13,10.3389/fnins.2020.00479,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087011822&doi=10.3389%2ffnins.2020.00479&partnerID=40&md5=a751e6a12b35353f84100c80c9d42136,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85087011822
